DATE,DTTHFM
1987-01-01,344968.0300000
1987-02-01,348806.4700000
1987-03-01,352069.5100000
1987-04-01,356682.3800000
1987-05-01,360848.6400000
1987-06-01,364872.6300000
1987-07-01,369804.2900000
1987-08-01,374683.7300000
1987-09-01,375948.6200000
1987-10-01,385801.8400000
1987-11-01,389313.9600000
1987-12-01,393518.1500000
1988-01-01,398025.9800000
1988-02-01,403324.1400000
1988-03-01,410339.3200000
1988-04-01,413119.8800000
1988-05-01,415940.6600000
1988-06-01,418537.6400000
1988-07-01,420215.8500000
1988-08-01,421914.4500000
1988-09-01,424738.1600000
1988-10-01,427896.4900000
1988-11-01,432026.5400000
1988-12-01,434655.7000000
1989-01-01,446075.4700000
1989-02-01,450066.1800000
1989-03-01,455223.6900000
1989-04-01,460993.6100000
1989-05-01,462600.9800000
1989-06-01,465755.8300000
1989-07-01,468144.9900000
1989-08-01,466117.2000000
1989-09-01,468814.3300000
1989-10-01,471757.1400000
1989-11-01,473835.9500000
1989-12-01,478784.2000000
1990-01-01,482066.3600000
1990-02-01,484221.7700000
1990-03-01,488725.8000000
1990-04-01,491038.9500000
1990-05-01,496480.2900000
1990-06-01,504667.5200000
1990-07-01,509341.0200000
1990-08-01,512246.8000000
1990-09-01,516180.2800000
1990-10-01,519632.5000000
1990-11-01,520994.7900000
1990-12-01,520975.1700000
1991-01-01,520966.1700000
1991-02-01,521298.3400000
1991-03-01,519650.2200000
1991-04-01,521533.2800000
1991-05-01,524193.8500000
1991-06-01,522191.6600000
1991-07-01,522505.1900000
1991-08-01,524411.5800000
1991-09-01,525114.7300000
1991-10-01,523213.3200000
1991-11-01,521727.5300000
1991-12-01,518476.5200000
1992-01-01,522038.1800000
1992-02-01,523423.5400000
1992-03-01,521931.3600000
1992-04-01,521555.4800000
1992-05-01,523434.6400000
1992-06-01,525774.9700000
1992-07-01,526875.1500000
1992-08-01,528251.4100000
1992-09-01,528205.8300000
1992-10-01,528481.6800000
1992-11-01,530877.1900000
1992-12-01,534527.5200000
1993-01-01,528418.8000000
1993-02-01,530962.8800000
1993-03-01,530011.2000000
1993-04-01,530911.0300000
1993-05-01,524855.7600000
1993-06-01,524877.3000000
1993-07-01,530321.3300000
1993-08-01,528577.2000000
1993-09-01,531195.4800000
1993-10-01,534057.3800000
1993-11-01,536711.5500000
1993-12-01,539436.4600000
1994-01-01,542721.9300000
1994-02-01,546874.6700000
1994-03-01,554472.2900000
1994-04-01,559332.5100000
1994-05-01,566899.6400000
1994-06-01,566987.9000000
1994-07-01,568170.2600000
1994-08-01,574303.7700000
1994-09-01,587372.5000000
1994-10-01,593483.8400000
1994-11-01,599670.7000000
1994-12-01,607714.9400000
1995-01-01,615869.1000000
1995-02-01,622201.8100000
1995-03-01,631072.5900000
1995-04-01,637842.2100000
1995-05-01,645365.5200000
1995-06-01,647608.7000000
1995-07-01,653341.6300000
1995-08-01,659867.1400000
1995-09-01,665575.9000000
1995-10-01,672026.2300000
1995-11-01,679071.6700000
1995-12-01,683228.2400000
1996-01-01,685475.7000000
1996-02-01,690444.9900000
1996-03-01,693327.4200000
1996-04-01,700030.8800000
1996-05-01,707530.9100000
1996-06-01,743718.2300000
1996-07-01,747756.4100000
1996-08-01,753900.9200000
1996-09-01,755577.2400000
1996-10-01,759849.2000000
1996-11-01,765750.2200000
1996-12-01,768186.9100000
1997-01-01,773286.6700000
1997-02-01,773764.9800000
1997-03-01,822202.1700000
1997-04-01,820779.4000000
1997-05-01,823858.8400000
1997-06-01,829645.0800000
1997-07-01,838368.0500000
1997-08-01,849579.6100000
1997-09-01,863013.2300000
1997-10-01,858743.7200000
1997-11-01,860152.6200000
1997-12-01,858555.9200000
1998-01-01,855897.8800000
1998-02-01,866067.4400000
1998-03-01,866177.2800000
1998-04-01,872483.7900000
1998-05-01,878028.8100000
1998-06-01,883328.7800000
1998-07-01,889620.2300000
1998-08-01,898469.6100000
1998-09-01,907581.8500000
1998-10-01,913707.0300000
1998-11-01,924690.0000000
1998-12-01,950118.8900000
1999-01-01,957920.8500000
1999-02-01,971137.6600000
1999-03-01,983116.9200000
1999-04-01,988708.7000000
1999-05-01,1002142.0100000
1999-06-01,1012209.8300000
1999-07-01,1025923.0500000
1999-08-01,1045239.2400000
1999-09-01,1050412.2500000
1999-10-01,1058847.4500000
1999-11-01,1064933.7300000
1999-12-01,1085296.2300000
2000-01-01,1106867.4300000
2000-02-01,1118117.7800000
2000-03-01,1139701.7500000
2000-04-01,1158122.7100000
2000-05-01,1173091.7700000
2000-06-01,1181797.7000000
2000-07-01,1194245.3600000
2000-08-01,1207432.5100000
2000-09-01,1226475.1800000
2000-10-01,1245480.5300000
2000-11-01,1253995.9300000
2000-12-01,1273345.9900000
2001-01-01,1285878.0700000
2001-02-01,1299797.0300000
2001-03-01,1310276.9500000
2001-04-01,1323733.6400000
2001-05-01,1332343.9800000
2001-06-01,1349843.2800000
2001-07-01,1353908.0500000
2001-08-01,1358279.8100000
2001-09-01,1365910.9700000
2001-10-01,1361048.2500000
2001-11-01,1372500.4800000
2001-12-01,1379782.6400000
2002-01-01,1381907.2500000
2002-02-01,1394633.6200000
2002-03-01,1398892.6900000
2002-04-01,1404443.2500000
2002-05-01,1411445.9800000
2002-06-01,1424089.0600000
2002-07-01,1440070.0900000
2002-08-01,1445128.6300000
2002-09-01,1452709.2900000
2002-10-01,1456238.7500000
2002-11-01,1468740.8000000
2002-12-01,1483207.6100000
2003-01-01,1496098.3500000
2003-02-01,1495795.5200000
2003-03-01,1509244.5500000
2003-04-01,1520807.5700000
2003-05-01,1530158.1600000
2003-06-01,1533220.6500000
2003-07-01,1536346.9500000
2003-08-01,1546688.5900000
2003-09-01,1593085.5600000
2003-10-01,1604323.3700000
2003-11-01,1606302.8800000
2003-12-01,1610477.7600000
2004-01-01,1620609.6100000
2004-02-01,1638867.0800000
2004-03-01,1659442.1100000
2004-04-01,1667889.3600000
2004-05-01,1688935.3800000
2004-06-01,1708117.2100000
2004-07-01,1713747.5900000
2004-08-01,1726030.6200000
2004-09-01,1742581.6200000
2004-10-01,1757523.3600000
2004-11-01,1775401.6900000
2004-12-01,1781186.3300000
2005-01-01,1793165.8500000
2005-02-01,1809803.3300000
2005-03-01,1813979.7400000
2005-04-01,1821688.8800000
2005-05-01,1824367.8900000
2005-06-01,1830187.4800000
2005-07-01,1831095.3700000
2005-08-01,1834426.6100000
2005-09-01,1843659.8600000
2005-10-01,1856266.6700000
2005-11-01,1868658.3800000
2005-12-01,1898140.0200000
2006-01-01,1912471.1900000
2006-02-01,1917962.0800000
2006-03-01,1937847.9200000
2006-04-01,1950131.1600000
2006-05-01,1960444.3300000
2006-06-01,1970421.9300000
2006-07-01,1980639.7200000
2006-08-01,1991060.0900000
2006-09-01,2004681.1700000
2006-10-01,2017244.7900000
2006-11-01,2028923.6500000
2006-12-01,2031690.1900000
2007-01-01,2025862.9700000
2007-02-01,2025069.9600000
2007-03-01,2029956.7100000
2007-04-01,2039825.4700000
2007-05-01,2038801.2600000
2007-06-01,2030303.5900000
2007-07-01,2042442.8700000
2007-08-01,2053057.1900000
2007-09-01,2056923.6500000
2007-10-01,2057655.1000000
2007-11-01,2059997.9800000
2007-12-01,2069413.7500000
2008-01-01,2068668.37
2008-02-01,2074184.87
2008-03-01,2066190.95
2008-04-01,2058857.86
2008-05-01,2057386.65
2008-06-01,2044800.49
2008-07-01,2029066.15
2008-08-01,2019534.94
2008-09-01,1996575.51
2008-10-01,1974616.25
2008-11-01,1948639.59
2008-12-01,1919034.9700000
2009-01-01,1890155.02
2009-02-01,1860615.17
2009-03-01,1838538.23
2009-04-01,1816982.52
2009-05-01,1798620.89
2009-06-01,1760587.55
2009-07-01,1748861.15
2009-08-01,1725438.22
2009-09-01,1703816.84
2009-10-01,1673738.69
2009-11-01,1650682.9
2009-12-01,1622425.2700000
2010-01-01,1622190.38
2010-02-01,1611658.48
2010-03-01,1592408.54
2010-04-01,1580987.77
2010-05-01,1565262.14
2010-06-01,1548870.49
2010-07-01,1542016.4
2010-08-01,1531980.42
2010-09-01,1521636.36
2010-10-01,1496227.46
2010-11-01,1486033.06
2010-12-01,1518176.1800000
2011-01-01,1509769.9
2011-02-01,1501040.18
2011-03-01,1504510.98
2011-04-01,1484792.19
2011-05-01,1475621.85
2011-06-01,1474461.73
2011-07-01,1465178.96
2011-08-01,1460542.66
2011-09-01,1459910.61
2011-10-01,1462623.43
2011-11-01,1466027.44
2011-12-01,1468797.3100000
2012-01-01,1468334.1
2012-02-01,1465839.03
2012-03-01,1467346.99
2012-04-01,1467650.69
2012-05-01,1392904.17
2012-06-01,1391509.66
2012-07-01,1388868.55
2012-08-01,1392969.25
2012-09-01,1392695.44
2012-10-01,1392022.44
2012-11-01,1394457.15
2012-12-01,1399124.6300000
2013-01-01,1398940.54
2013-02-01,1398692.47
2013-03-01,1406199.56
2013-04-01,1408019.07
2013-05-01,1411995.27
2013-06-01,1416822.71
2013-07-01,1416116.4
2013-08-01,1414591.31
2013-09-01,1418242.17
2013-10-01,1418544.24
2013-11-01,1418054.44
2013-12-01,1413899.9300000
2014-01-01,1411742.76
2014-02-01,1413950.53
2014-03-01,1414573.03
2014-04-01,1414849.82
2014-05-01,1415539.96
2014-06-01,1418930.62
2014-07-01,1422610.75
2014-08-01,1423776.59
2014-09-01,1422605.92
2014-10-01,1427298.06
2014-11-01,1428994.28
2014-12-01,1442180.5600000
2015-01-01,1441897.34
2015-02-01,1445399.93
2015-03-01,1448690.18
2015-04-01,1453763.93
2015-05-01,1449795.65
2015-06-01,1449418.64
2015-07-01,1451383.77
2015-08-01,1450026.51
2015-09-01,1457204.96
2015-10-01,1457129.46
2015-11-01,1455924.94
2015-12-01,1310785.3500000
2016-01-01,1308725.1
2016-02-01,1310498.57
2016-03-01,1291753.33
2016-04-01,1287683.67
2016-05-01,1285578.47
2016-06-01,1279431.56
2016-07-01,1275141.03
2016-08-01,1276909.84
2016-09-01,1274246.0
2016-10-01,1274307.56
2016-11-01,1272257.94
2016-12-01,1270873.0000000
2017-01-01,1274686.94
2017-02-01,1270418.44
2017-03-01,1270179.23
2017-04-01,1265764.08
2017-05-01,1264718.0
2017-06-01,1263834.47
2017-07-01,1260316.57
2017-08-01,1260093.96
2017-09-01,1246930.05
2017-10-01,1245434.6
2017-11-01,1242733.44
2017-12-01,1248285.09
2018-01-01,1249543.41
2018-02-01,1250658.43
2018-03-01,1248103.29
2018-04-01,1250529.61
2018-05-01,1248342.27
2018-06-01,1248233.81
2018-07-01,1252180.06
