DATE,GDPC1
01/01/1947,2033.061
01/04/1947,2027.639
01/07/1947,2023.452
01/10/1947,2055.103
01/01/1948,2086.017
01/04/1948,2120.45
01/07/1948,2132.598
01/10/1948,2134.981
01/01/1949,2105.562
01/04/1949,2098.38
01/07/1949,2120.044
01/10/1949,2102.251
01/01/1950,2184.872
01/04/1950,2251.507
01/07/1950,2338.514
01/10/1950,2383.291
01/01/1951,2415.66
01/04/1951,2457.517
01/07/1951,2508.166
01/10/1951,2513.69
01/01/1952,2540.55
01/04/1952,2546.022
01/07/1952,2564.401
01/10/1952,2648.621
01/01/1953,2697.855
01/04/1953,2718.709
01/07/1953,2703.411
01/10/1953,2662.482
01/01/1954,2649.755
01/04/1954,2652.643
01/07/1954,2682.601
01/10/1954,2735.091
01/01/1955,2813.212
01/04/1955,2858.988
01/07/1955,2897.598
01/10/1955,2914.993
01/01/1956,2903.671
01/04/1956,2927.665
01/07/1956,2925.035
01/10/1956,2973.179
01/01/1957,2992.219
01/04/1957,2985.663
01/07/1957,3014.919
01/10/1957,2983.727
01/01/1958,2906.274
01/04/1958,2925.379
01/07/1958,2993.068
01/10/1958,3063.085
01/01/1959,3121.936
01/04/1959,3192.38
01/07/1959,3194.653
01/10/1959,3203.759
01/01/1960,3275.757
01/04/1960,3258.088
01/07/1960,3274.029
01/10/1960,3232.009
01/01/1961,3253.826
01/04/1961,3309.059
01/07/1961,3372.581
01/10/1961,3438.721
01/01/1962,3500.054
01/04/1962,3531.683
01/07/1962,3575.07
01/10/1962,3586.827
01/01/1963,3625.981
01/04/1963,3666.669
01/07/1963,3747.278
01/10/1963,3771.845
01/01/1964,3851.366
01/04/1964,3893.296
01/07/1964,3954.121
01/10/1964,3966.335
01/01/1965,4062.311
01/04/1965,4113.629
01/07/1965,4205.086
01/10/1965,4301.973
01/01/1966,4406.693
01/04/1966,4421.747
01/07/1966,4459.195
01/10/1966,4495.777
01/01/1967,4535.591
01/04/1967,4538.37
01/07/1967,4581.309
01/10/1967,4615.853
01/01/1968,4709.993
01/04/1968,4788.688
01/07/1968,4825.799
01/10/1968,4844.779
01/01/1969,4920.605
01/04/1969,4935.564
01/07/1969,4968.164
01/10/1969,4943.935
01/01/1970,4936.594
01/04/1970,4943.6
01/07/1970,4989.159
01/10/1970,4935.693
01/01/1971,5069.746
01/04/1971,5097.179
01/07/1971,5139.128
01/10/1971,5151.245
01/01/1972,5245.974
01/04/1972,5365.045
01/07/1972,5415.712
01/10/1972,5506.396
01/01/1973,5642.669
01/04/1973,5704.098
