month,day,year,PCECC96
1,1,1947,1199.4
4,1,1947,1219.3
7,1,1947,1223.3
10,1,1947,1223.6
1,1,1948,1229.8
4,1,1948,1244.1
7,1,1948,1245.9
10,1,1948,1255.8
1,1,1949,1257.9
4,1,1949,1277.1
7,1,1949,1280
10,1,1949,1298.8
1,1,1950,1320.4
4,1,1950,1342.1
7,1,1950,1411
10,1,1950,1368.4
1,1,1951,1401.5
4,1,1951,1361.9
7,1,1951,1377.7
10,1,1951,1385.8
1,1,1952,1388.9
4,1,1952,1416.1
7,1,1952,1423
10,1,1952,1473.3
1,1,1953,1490.8
4,1,1953,1499.8
7,1,1953,1496.3
10,1,1953,1486.4
1,1,1954,1491.8
4,1,1954,1511.3
7,1,1954,1531.8
10,1,1954,1564
1,1,1955,1599.1
4,1,1955,1629.7
7,1,1955,1649.8
10,1,1955,1670.5
1,1,1956,1673.2
4,1,1956,1678.8
7,1,1956,1682.6
10,1,1956,1705.8
1,1,1957,1717.5
4,1,1957,1720.5
7,1,1957,1734.1
10,1,1957,1734.9
1,1,1958,1711.1
4,1,1958,1725.1
7,1,1958,1753.5
10,1,1958,1777.1
1,1,1959,1809.4
4,1,1959,1837.3
7,1,1959,1856.5
10,1,1959,1858.6
1,1,1960,1876.3
4,1,1960,1900.1
7,1,1960,1892.5
10,1,1960,1894.9
1,1,1961,1894.4
4,1,1961,1922.6
7,1,1961,1932
10,1,1961,1970.7
1,1,1962,1991.7
4,1,1962,2016.1
7,1,1962,2032.5
10,1,1962,2061.3
1,1,1963,2075.2
4,1,1963,2095.1
7,1,1963,2123.7
10,1,1963,2141.4
1,1,1964,2183.6
4,1,1964,2222
7,1,1964,2262.8
10,1,1964,2269.2
1,1,1965,2319.8
4,1,1965,2345.5
7,1,1965,2385.9
10,1,1965,2452.9
1,1,1966,2489.1
4,1,1966,2495.4
7,1,1966,2523.8
10,1,1966,2534.2
1,1,1967,2548.9
4,1,1967,2583.7
7,1,1967,2596.9
10,1,1967,2612.7
1,1,1968,2674.8
4,1,1968,2715.6
7,1,1968,2766.6
10,1,1968,2779.1
1,1,1969,2810.2
4,1,1969,2828.2
7,1,1969,2841.9
10,1,1969,2864.6
1,1,1970,2882.3
4,1,1970,2895.6
7,1,1970,2921.1
10,1,1970,2913.1
1,1,1971,2968.9
4,1,1971,2996.1
7,1,1971,3020
10,1,1971,3070.2
1,1,1972,3110.8
4,1,1972,3170.2
7,1,1972,3219.1
10,1,1972,3294.6
1,1,1973,3354.8
4,1,1973,3353.4
7,1,1973,3365.3
10,1,1973,3355.5
1,1,1974,3326.2
4,1,1974,3337.9
7,1,1974,3351.6
10,1,1974,3302.5
1,1,1975,3330.1
4,1,1975,3385.7
7,1,1975,3434.1
10,1,1975,3470.5
1,1,1976,3539.9
4,1,1976,3572.4
7,1,1976,3610.3
10,1,1976,3657.5
1,1,1977,3699.3
4,1,1977,3719.7
7,1,1977,3755.2
10,1,1977,3811.8
1,1,1978,3833.8
4,1,1978,3915.6
7,1,1978,3932
10,1,1978,3963.5
1,1,1979,3983.6
4,1,1979,3981.3
7,1,1979,4020.4
10,1,1979,4031.2
1,1,1980,4025
4,1,1980,3934.5
7,1,1980,3976.9
10,1,1980,4029.6
1,1,1981,4050.8
4,1,1981,4050.1
7,1,1981,4066.4
10,1,1981,4035.9
1,1,1982,4062.6
4,1,1982,4077.6
7,1,1982,4109.1
10,1,1982,4184.1
1,1,1983,4224.8
4,1,1983,4308.4
7,1,1983,4384
10,1,1983,4453.1
1,1,1984,4490.9
4,1,1984,4554.9
7,1,1984,4589.9
10,1,1984,4650.6
1,1,1985,4729.7
4,1,1985,4774.1
7,1,1985,4865.8
10,1,1985,4878.3
1,1,1986,4919.6
4,1,1986,4974.6
7,1,1986,5064.7
10,1,1986,5097.1
1,1,1987,5097.9
4,1,1987,5168.6
7,1,1987,5228.5
10,1,1987,5239.5
1,1,1988,5332.7
4,1,1988,5371.8
7,1,1988,5417.7
10,1,1988,5479.7
1,1,1989,5505
4,1,1989,5530.9
7,1,1989,5585.9
10,1,1989,5610.5
1,1,1990,5658.7
4,1,1990,5676.4
7,1,1990,5699.3
10,1,1990,5656.2
1,1,1991,5636.7
4,1,1991,5684
7,1,1991,5711.6
10,1,1991,5710.1
1,1,1992,5817.3
4,1,1992,5857.2
7,1,1992,5920.6
10,1,1992,5991.1
1,1,1993,6013.8
4,1,1993,6067.8
7,1,1993,6134.8
10,1,1993,6189.1
1,1,1994,6260.1
4,1,1994,6308.6
7,1,1994,6357.5
10,1,1994,6425.9
1,1,1995,6442.9
4,1,1995,6500.7
7,1,1995,6560.3
10,1,1995,6606.4
1,1,1996,6667.7
4,1,1996,6740.1
7,1,1996,6780.7
10,1,1996,6834
1,1,1997,6906.1
4,1,1997,6937.4
7,1,1997,7056.1
10,1,1997,7139.9
1,1,1998,7213.6
4,1,1998,7341
7,1,1998,7437.5
10,1,1998,7546.8
1,1,1999,7618.7
4,1,1999,7731.5
7,1,1999,7819.3
10,1,1999,7934.1
1,1,2000,8054.9
4,1,2000,8132.2
7,1,2000,8211.3
10,1,2000,8284.4
1,1,2001,8319.4
4,1,2001,8340.8
7,1,2001,8371.2
10,1,2001,8499.1
1,1,2002,8524.6
4,1,2002,8568.1
7,1,2002,8628
10,1,2002,8674.4
1,1,2003,8712.5
4,1,2003,8809.5
7,1,2003,8939.4
10,1,2003,9008.8
1,1,2004,9096.4
4,1,2004,9155.5
7,1,2004,9243
10,1,2004,9337.8
1,1,2005,9409.2
4,1,2005,9511.5
7,1,2005,9585.2
10,1,2005,9621.3
1,1,2006,9729.2
4,1,2006,9781
7,1,2006,9838.1
10,1,2006,9938.4
1,1,2007,9990.7
4,1,2007,10024.6
7,1,2007,10069.2
10,1,2007,10081.8
1,1,2008,10061
4,1,2008,10077.9
7,1,2008,10005.1
10,1,2008,9884.7
