CPI,HOUSHFINASSET,TOTPERSINC,UNEMPL
175.6,32442567,8825.6,6023
176,31836751.88,8862,6089
176.1,31616036.9,8889.4,6141
176.4,31994190.44,8878.4,6271
177.3,32562151.92,8878.6,6226
177.7,32722848.88,8886.8,6484
177.4,32112926.3,8887.3,6583
177.4,31172800.68,8883,7042
178.1,30576752.41,8871.6,7142
177.6,30745530.87,8896.3,7694
177.5,31406233.46,8909.8,8003
177.4,32150614.5,8930.7,8258
177.7,32586686.97,8965.1,8182
178,32695599.77,8976.1,8215
178.5,32563030.6,8993.7,8304
179.3,32233284.99,9040,8599
179.5,31697699.78,9057.8,8399
179.6,30993182.5,9084.4,8393
180,30125880.04,9068.1,8390
180.5,29371940.86,9072,8304
180.8,29038914,9083.6,8251
181.2,29279928.09,9103.4,8307
181.5,29789116.63,9122.6,8520
181.8,30180727,9154.5,8640
182.6,30151071.2,9156.9,8520
183.6,29990439.43,9187.5,8618
183.9,30052301.6,9238.9,8588
183.2,30612187.21,9266.9,8842
182.9,31457306.04,9329.1,8957
183.1,32163167,9367.2,9266
183.7,32511643.86,9377.7,9011
184.5,32684723.2,9414.7,8896
185.1,32996792.29,9463.7,8921
184.9,33685967.24,9521.5,8732
185,34525835.34,9590.3,8576
185.5,35283223.5,9623.1,8317
186.3,35714003.25,9642.6,8370
186.7,35909066.55,9674.1,8167
187.1,36066143.31,9722.7,8491
187.4,36286964.26,9780.5,8170
188.2,36511908.03,9862,8212
188.9,36605868.8,9898.8,8286
189.1,36519068.62,9946.4,8136
189.2,36465868.76,10012,7990
189.8,36719717.9,10038.8,7927
190.8,37462863.38,10099.6,8061
191.7,38369144.94,10116.4,7932
191.7,39097434.12,10453.1,7934
191.6,39332108.04,10207.9,7784
192.4,39297701.36,10239.9,7980
193.1,39303831.5,10267.9,7737
193.7,39589863.17,10330.6,7672
193.6,40094494.77,10383.7,7651
193.7,40626079.89,10445.9,7524
194.9,41087000.26,10521.2,7406
196.1,41454329.07,10577.9,7345
198.8,41747155.3,10633.3,7553
199.1,42027307.63,10688.2,7453
198.1,42372980.71,10739.3,7566
198.1,42921961.2,10795,7279
199.3,43715096.81,10961.6,7064
199.4,44460962.18,11031.7,7184
199.7,45055552.79,11086.7,7072
200.7,45220952.08,11161.3,7120
201.3,45129091.58,11191.1,6980
201.8,45026893.61,11259.6,7001
202.9,45115067.13,11286.5,7175
203.8,45435596.55,11338,7091
202.8,45960628.2,11386.2,6847
201.9,46693134.39,11435.2,6727
202,47460453.66,11488.7,6872
203.1,48158660.79,11590.3,6762
203.38,48651930.37,11640.7,7100
204.24,48990908,11713.8,6900
205.25,49371838.9,11788.2,6721
206.01,49831245.2,11815.8,6836
206.81,50331878.54,11843,6766
207.16,50737205.5,11858.1,6980
207.66,50992681.43,11906.9,7149
207.69,51107622.31,11931.9,7085
208.47,51134097.5,12024.5,7191
209.16,51103103.98,12065.1,7272
210.81,50964679.5,12132,7261
211.42,50634999.6,12227.2,7664
212.18,50082382.61,12346.2,7653
212.68,49483477.16,12415.1,7441
213.46,48925038.19,12485.5,7781
214.12,48581825.16,12456.6,7606
215.3,48348502.11,12636.6,8398
217.24,48110456.3,12621.9,8590
219.13,47716246.99,12497.8,8953
218.78,47033146.56,12528.1,9489
218.85,45965302.8,12513.9,9557
216.93,44398731.82,12456.2,10176
213,42741258.51,12352.4,10552
211.33,41291198.4,12211.5,11344
211.9,40425951.75,12075.7,11984
212.88,40092977.94,11945.2,12737
212.57,40068062,11872.2,13278
212.8,40265210.16,11887.2,13734
213.08,40688660.61,12043.9,14512
214.53,41332762,11901.2,14776
214.78,42219806.87,11862.5,14663
215.52,43139253.37,11868.5,14953
215.96,43837183.7,11891.4,15149
216.45,44209446.7,11874.9,15628
216.96,44383857.88,11932.7,15206
217.16,44605887.8,12006.9,15212
217.46,45015328.98,12099.7,14842
217.56,45362880.98,12127.7,14860
217.61,45431757.2,12185.8,14943
217.63,45010309.08,12271.9,15138
217.32,44382948.49,12343.8,14884
216.87,44011982.71,12361.2,14593
217.62,44198965.13,12409.2,14637
218.07,44843398.37,12472.8,14849
218.43,45682553.6,12477.7,14746
218.97,46574491.5,12546,14876
219.24,47382162.43,12561.8,15041
220.19,48104279.9,12625,14485
