ABTE,ABPB,ADFP,ADFY
704,4452,401,332
722,4934,500,360
758,4980,493,376
700,5181,640,416
712,4786,433,374
725,5214,522,384
773,5303,507,394
704,5562,667,447
717,5133,469,399
736,5519,554,403
779,5643,545,419
709,5854,694,466
720,5452,490,419
736,5916,574,418
777,5912,556,424
709,6105,710,464
707,5656,502,415
721,6081,574,418
760,6258,578,448
697,6571,740,520
704,6256,529,501
706,6424,612,454
719,6691,608,488
687,7084,788,542
693,6496,548,470
684,6914,658,488
707,7082,636,500
677,7562,825,558
669,6926,588,497
669,7472,706,512
704,7806,697,562
660,8337,927,621
676,7659,634,546
665,8413,783,568
694,8794,753,633
652,9360,998,727
676,8719,714,657
666,9421,837,672
712,9923,863,748
644,10724,1140,879
682,10232,873,834
680,10753,947,742
693,11322,955,838
640,12204,1285,979
657,11241,937,871
642,12325,1098,841
620,13194,1163,976
586,14596,1524,1157
621,13898,1160,1086
636,15405,1307,1062
547,16228,1312,1109
563,17507,1675,1322
590,16558,1238,1248
547,17597,1430,1145
330,18632,1462,1296
412,20456,1916,1592
477,19120,1393,1394
407,20231,1544,1267
113,21338,1705,1444
310,23134,2256,1768
492,22256,1626,1582
452,23242,1839,1584
180,24805,2025,1732
377,26353,2615,2115
507,25336,1864,1828
489,28005,2230,2023
300,29464,2308,1995
376,31888,3073,2529
487,31157,2142,2201
561,32070,2386,2084
475,34201,2488,2222
489,35746,3223,2656
574,34214,2246,2408
684,35899,2393,2227
661,37972,2493,2320
499,39967,3388,2774
601,37726,2360,2420
627,39072,2566,2261
737,41451,2703,2488
526,43979,3680,3081
494,41504,2553,2690
551,42849,2905,2559
605,45809,3027,2672
344,47865,4051,3328
486,44732,2708,2797
588,46730,3102,2679
424,48203,3309,2830
241,51725,4474,3606
389,48602,3096,3039
273,50421,3541,2963
81,53358,3726,3144
221,57001,5003,3911
421,54052,3474,3381
573,56359,3954,3380
722,59213,4145,3542
280,62471,5518,4349
578,58689,3687,3728
671,61163,4201,3721
743,65504,4410,3950
373,70005,6002,4867
662,66096,3942,4277
978,69275,4469,4206
1273,74716,4662,4513
450,78259,6355,5477
765,73053,4252,4702
1035,76620,4754,4448
1418,81258,4821,4571
412,84891,6401,5568
616,79363,4553,4953
1046,83743,4931,4674
1172,88181,5048,4721
394,91754,6727,5588
862,84743,4654,5048
957,88552,5198,4875
1352,93895,5399,5039
443,97396,7234,5869
872,89912,4750,5417
1245,93610,5451,5289
1595,98954,5702,5472
617,101655,7695,6194
751,95518,5027,5809
1282,98042,5645,5590
1321,105133,5927,5797
589,108115,8288,6613
980,100892,5306,6072
1293,103454,6167,5935
1619,109668,6429,6055
806,112696,8768,7117
625,105335,5650,6288
1208,108685,6507,6172
1175,115634,6650,6320
245,119066,9193,7507
788,112254,5854,6480
925,116974,6856,6568
1096,124314,7074,6721
330,128499,9751,7989
856,119524,6223,6908
1210,124994,7190,6982
1233,131805,7336,7127
406,136159,10152,8475
1056,128342,6501,7515
1486,133481,7441,7393
1892,140618,7686,7494
735,144447,10319,8600
1453,137377,6827,7839
2284,142900,7777,7738
2962,147641,7958,7967
1479,154453,10813,9302
1739,147480,7366,8772
2623,151470,8317,8508
3662,156237,8385,8592
1717,161371,11411,9803
2118,153482,7608,9185
3387,159095,8605,9044
4565,165143,8841,9255
2254,170058,11768,10490
2708,161829,8382,9748
3666,168084,9242,9771
4656,172411,9303,9788
2333,178640,12165,11141
3058,168606,8679,9937
4084,176082,9690,10463
5329,181524,9864,10316
2487,188396,12922,11750
3038,177559,9107,10255
3891,184674,10219,10889
5356,188936,10218,10717
2455,196333,13252,11608
3159,184554,9175,10488
3801,192397,10419,10881
5583,197374,10433,10595
2216,205940,13732,12365
3187,193181,9422,10744
4041,200818,10691,11243
5100,206131,10723,11016
2349,214529,14166,12488
3151,203816,9464,10866
4268,211428,11185,11462
5742,217757,11350,11402
2350,226979,14689,12798
3794,215585,10090,11252
4202,220390,11351,11375
6438,225627,11529,11264
2208,229400,14537,12415
