ABTE,ABPB,ADFP,ADFY
4,4452,401,332
22,4934,500,360
58,4980,493,376
0,5181,640,416
12,4786,433,374
25,5214,522,384
73,5303,507,394
4,5562,667,447
17,5133,469,399
36,5519,554,403
79,5643,545,419
9,5854,694,466
20,5452,490,419
36,5916,574,418
77,5912,556,424
9,6105,710,464
7,5656,502,415
21,6081,574,418
60,6258,578,448
-3,6571,740,520
4,6256,529,501
6,6424,612,454
19,6691,608,488
-13,7084,788,542
-7,6496,548,470
-16,6914,658,488
7,7082,636,500
-23,7562,825,558
-31,6926,588,497
-31,7472,706,512
4,7806,697,562
-40,8337,927,621
-24,7659,634,546
-35,8413,783,568
-6,8794,753,633
-48,9360,998,727
-24,8719,714,657
-34,9421,837,672
12,9923,863,748
-56,10724,1140,879
-18,10232,873,834
-20,10753,947,742
-7,11322,955,838
-60,12204,1285,979
-43,11241,937,871
-58,12325,1098,841
-80,13194,1163,976
-114,14596,1524,1157
-79,13898,1160,1086
-64,15405,1307,1062
-153,16228,1312,1109
-137,17507,1675,1322
-110,16558,1238,1248
-153,17597,1430,1145
-370,18632,1462,1296
-288,20456,1916,1592
-223,19120,1393,1394
-293,20231,1544,1267
-587,21338,1705,1444
-390,23134,2256,1768
-208,22256,1626,1582
-248,23242,1839,1584
-520,24805,2025,1732
-323,26353,2615,2115
-193,25336,1864,1828
-211,28005,2230,2023
-400,29464,2308,1995
-324,31888,3073,2529
-213,31157,2142,2201
-139,32070,2386,2084
-225,34201,2488,2222
-211,35746,3223,2656
-126,34214,2246,2408
-16,35899,2393,2227
-39,37972,2493,2320
-201,39967,3388,2774
-99,37726,2360,2420
-73,39072,2566,2261
37,41451,2703,2488
-174,43979,3680,3081
-206,41504,2553,2690
-149,42849,2905,2559
-95,45809,3027,2672
-356,47865,4051,3328
-214,44732,2708,2797
-112,46730,3102,2679
-276,48203,3309,2830
-459,51725,4474,3606
-311,48602,3096,3039
-427,50421,3541,2963
-619,53358,3726,3144
-479,57001,5003,3911
-279,54052,3474,3381
-127,56359,3954,3380
22,59213,4145,3542
-420,62471,5518,4349
-122,58689,3687,3728
-29,61163,4201,3721
43,65504,4410,3950
-327,70005,6002,4867
-38,66096,3942,4277
278,69275,4469,4206
573,74716,4662,4513
-250,78259,6355,5477
65,73053,4252,4702
335,76620,4754,4448
718,81258,4821,4571
-288,84891,6401,5568
-84,79363,4553,4953
346,83743,4931,4674
472,88181,5048,4721
-306,91754,6727,5588
162,84743,4654,5048
257,88552,5198,4875
652,93895,5399,5039
-257,97396,7234,5869
172,89912,4750,5417
545,93610,5451,5289
895,98954,5702,5472
-83,101655,7695,6194
51,95518,5027,5809
582,98042,5645,5590
621,105133,5927,5797
-111,108115,8288,6613
280,100892,5306,6072
593,103454,6167,5935
919,109668,6429,6055
106,112696,8768,7117
-75,105335,5650,6288
508,108685,6507,6172
475,115634,6650,6320
-455,119066,9193,7507
88,112254,5854,6480
225,116974,6856,6568
396,124314,7074,6721
-370,128499,9751,7989
156,119524,6223,6908
510,124994,7190,6982
533,131805,7336,7127
-294,136159,10152,8475
356,128342,6501,7515
786,133481,7441,7393
1192,140618,7686,7494
35,144447,10319,8600
753,137377,6827,7839
1584,142900,7777,7738
2262,147641,7958,7967
779,154453,10813,9302
1039,147480,7366,8772
1923,151470,8317,8508
2962,156237,8385,8592
1017,161371,11411,9803
1418,153482,7608,9185
2687,159095,8605,9044
3865,165143,8841,9255
1554,170058,11768,10490
2008,161829,8382,9748
2966,168084,9242,9771
3956,172411,9303,9788
1633,178640,12165,11141
2358,168606,8679,9937
3384,176082,9690,10463
4629,181524,9864,10316
1787,188396,12922,11750
2338,177559,9107,10255
3191,184674,10219,10889
4656,188936,10218,10717
1755,196333,13252,11608
2459,184554,9175,10488
3101,192397,10419,10881
4883,197374,10433,10595
1516,205940,13732,12365
2487,193181,9422,10744
3341,200818,10691,11243
4400,206131,10723,11016
1649,214529,14166,12488
2451,203816,9464,10866
3568,211428,11185,11462
5042,217757,11350,11402
1650,226979,14689,12798
3094,215585,10090,11252
3502,220390,11351,11375
5738,225627,11529,11264
1508,229400,14537,12415
