FFR,GAP,INFL,INFL_EXP,SPREAD,MONTH,YEAR
9.2,-0.15677,-0.26918,-0.151,-1.22,11,1982
8.95,-0.03707,-0.26184,-0.261,-0.72,12,1982
8.68,0.1142,-0.23337,-0.3706,0.12,1,1983
8.51,0.29597,-0.19923,-0.3694,0,2,1983
8.77,0.48071,-0.16417,-0.23,0.01,3,1983
8.8,0.56044,-0.13182,-0.0016,-0.45,4,1983
8.63,0.51643,-0.12162,0.119,0.03,5,1983
8.98,0.38364,-0.13727,0.0826,0,6,1983
9.37,0.30189,-0.17042,-0.0609,-0.13,7,1983
9.56,0.3026,-0.18551,-0.1111,0.24,8,1983
9.45,0.36661,-0.17469,-0.018,0.21,9,1983
9.48,0.42749,-0.13779,0.167,0.14,10,1983
9.34,0.46251,-0.07368,0.2383,0.25,11,1983
9.47,0.47798,0.01808,0.1447,0.03,12,1983
9.56,0.46883,0.11936,-0.0584,-0.1,1,1984
9.59,0.43764,0.15907,-0.1493,-0.06,2,1984
9.91,0.38499,0.12116,-0.0723,-0.02,3,1984
10.29,0.30954,0.02737,0.1193,0.05,4,1984
10.32,0.20806,-0.03685,0.2134,0.14,5,1984
11.06,0.09347,-0.0515,0.1573,0.64,6,1984
11.23,0.01445,-0.02797,-0.0116,0.11,7,1984
11.64,-0.02421,-0.01311,-0.1421,-0.45,8,1984
11.3,-0.02479,-0.01732,-0.1963,-0.99,9,1984
9.99,-0.01099,-0.03636,-0.188,-0.1,10,1984
9.43,0.00986,-0.05023,-0.1715,0.27,11,1984
8.38,0.03055,-0.05389,-0.1605,0.54,12,1984
8.35,0.02612,-0.04971,-0.1486,0.48,1,1985
8.5,-0.00313,-0.04498,-0.1108,0.18,2,1985
8.58,-0.04634,-0.04216,-0.0406,-0.38,3,1985
8.27,-0.0256,-0.04293,0.0469,0.1,4,1985
7.97,0.07434,-0.05499,0.0923,0.14,5,1985
7.53,0.21715,-0.07912,0.0808,-0.11,6,1985
7.88,0.27595,-0.10657,0.0233,-0.16,7,1985
7.9,0.21231,-0.0994,-0.0363,0.02,8,1985
7.92,0.06997,-0.04841,-0.087,-0.04,9,1985
7.99,-0.01743,0.02392,-0.126,0.08,10,1985
8.05,-0.01115,0.03129,-0.142,-0.19,11,1985
8.27,0.05519,-0.04838,-0.132,-0.54,12,1985
8.14,0.06787,-0.18338,-0.103,-0.38,1,1986
7.86,0.00535,-0.25475,-0.0818,-0.04,2,1986
7.48,-0.1078,-0.23309,-0.0752,-0.48,3,1986
6.99,-0.15401,-0.13947,-0.0775,-0.42,4,1986
6.85,-0.10144,-0.05341,-0.0664,0.02,5,1986
6.92,0.01701,0.0051,-0.0361,0.32,6,1986
6.56,0.07705,0.03646,0.0068,0.03,7,1986
6.17,0.05064,0.04091,0.0365,-0.12,8,1986
5.89,-0.03937,0.01773,0.0467,0.17,9,1986
5.85,-0.10026,-0.01848,0.0419,0.6,10,1986
6.04,-0.10892,-0.01425,0.0406,0.01,11,1986
6.91,-0.07238,0.04394,0.0475,-0.35,12,1986
6.43,-0.01936,0.13645,0.0627,-0.32,1,1987
6.1,0.04325,0.1871,0.087,0.07,2,1987
6.13,0.10529,0.17761,0.1203,0.01,3,1987
6.37,0.11384,0.12135,0.1558,0,4,1987
6.85,0.05813,0.07143,0.1645,0.72,5,1987
6.73,-0.02823,0.04101,0.1397,0.57,6,1987
6.58,-0.02388,0.02854,0.0887,-0.22,7,1987
6.73,0.10617,0.02879,0.0425,0.03,8,1987
7.22,0.30621,0.04041,0.0088,-0.04,9,1987
7.29,0.37397,0.05562,-0.0149,0.3,10,1987
6.69,0.25933,0.04291,-0.039,0.37,11,1987
6.77,0.02817,-0.00493,-0.0661,-0.22,12,1987
6.83,-0.09556,-0.07169,-0.0883,0.05,1,1988
6.58,-0.04964,-0.09264,-0.0746,-0.36,2,1988
6.58,0.10877,-0.05261,-0.0171,-0.31,3,1988
6.87,0.17696,0.03403,0.0711,0.12,4,1988
7.09,0.10419,0.11036,0.1381,0.14,5,1988
7.51,-0.05891,0.16201,0.1708,0.02,6,1988
7.75,-0.13466,0.18565,0.1704,-0.37,7,1988
8.01,-0.07686,0.16534,0.1422,-0.13,8,1988
8.19,0.07906,0.0981,0.0874,-0.13,9,1988
8.3,0.19453,0.00433,0.0153,-0.46,10,1988
8.35,0.23576,-0.03443,-0.0366,-0.29,11,1988
8.76,0.2102,0.00125,-0.0587,-0.25,12,1988
9.12,0.15126,0.08844,-0.0527,-0.16,1,1989
9.36,0.06553,0.13775,-0.0238,-0.22,2,1989
9.85,-0.03462,0.12773,0.0265,-0.18,3,1989
9.84,-0.09602,0.06795,0.0799,-0.1,4,1989
9.81,-0.10848,-0.00398,0.0629,-0.01,5,1989
9.53,-0.08445,-0.07904,-0.0428,-0.1,6,1989
9.24,-0.08933,-0.14696,-0.2025,-0.3,7,1989
8.99,-0.13502,-0.16879,-0.2767,0.01,8,1989
9.02,-0.19868,-0.13534,-0.2308,0.07,9,1989
8.84,-0.18062,-0.06119,-0.094,0.23,10,1989
8.55,-0.05702,-0.00307,0.0155,-0.07,11,1989
8.45,0.12892,0.02562,0.0685,-0.19,12,1989
8.23,0.20364,0.02987,0.0708,0.03,1,1990
8.24,0.12556,0.03082,0.0468,0.36,2,1990
8.28,-0.06598,0.03358,0.0024,0.16,3,1990
8.26,-0.21184,0.03887,-0.0507,-0.04,4,1990
8.18,-0.27575,0.04863,-0.0664,0.33,5,1990
8.29,-0.27875,0.06368,-0.0329,0,6,1990
8.15,-0.30702,0.08024,0.0369,-0.27,7,1990
8.13,-0.37996,0.08463,0.0923,0.1,8,1990
8.2,-0.48448,0.07361,0.1208,0.45,9,1990
8.11,-0.5538,0.05184,0.1147,0.23,10,1990
7.81,-0.56969,0.03934,0.0441,0.02,11,1990
7.31,-0.53305,0.03988,-0.0988,-0.22,12,1990
6.91,-0.44333,0.04564,-0.2758,0.01,1,1991
6.25,-0.30033,0.02332,-0.3352,0.53,2,1991
6.12,-0.13155,-0.03482,-0.239,0.04,3,1991
5.91,-0.04004,-0.11462,-0.0331,0.29,4,1991
5.78,-0.05405,-0.16118,0.0997,0.19,5,1991
5.9,-0.14434,-0.16088,0.1134,0.22,6,1991
5.82,-0.19987,-0.12535,0.0341,0.1,7,1991
5.66,-0.19395,-0.09769,-0.0353,-0.02,8,1991
5.45,-0.13872,-0.08897,-0.0688,-0.12,9,1991
5.21,-0.08072,-0.09623,-0.0728,-0.14,10,1991
4.81,-0.02749,-0.11112,-0.0727,0.11,11,1991
4.43,0.01794,-0.13044,-0.0745,0.32,12,1991
4.03,0.04969,-0.14863,-0.0745,0.16,1,1992
4.06,0.07228,-0.14189,-0.0572,0.21,2,1992
3.98,0.07849,-0.10525,-0.0183,0.27,3,1992
3.73,0.05828,-0.05152,0.031,0,4,1992
3.82,0.01051,-0.0309,0.0478,0.23,5,1992
3.76,-0.04854,-0.05589,0.0212,0.03,6,1992
3.25,-0.03447,-0.1091,-0.0357,-0.16,7,1992
3.3,0.06794,-0.12472,-0.0702,0.03,8,1992
3.22,0.21552,-0.0861,-0.0691,-0.17,9,1992
3.1,0.23188,-0.00908,-0.0409,0.05,10,1992
3.09,0.07649,0.04495,-0.0198,0.22,11,1992
2.92,-0.19021,0.06075,-0.0143,0.01,12,1992
3.02,-0.3318,0.04497,-0.0193,-0.19,1,1993
3.03,-0.29037,0.02285,-0.0136,0.05,2,1993
3.07,-0.11594,0.00085,0.0079,-0.27,3,1993
2.96,-0.01778,-0.01772,0.0394,-0.3,4,1993
3,-0.04542,-0.01849,0.0566,0.07,5,1993
3.04,-0.15383,0.0017,0.054,-0.02,6,1993
3.06,-0.16391,0.03515,0.0316,-0.19,7,1993
3.03,-0.03084,0.05172,-0.0083,-0.12,8,1993
3.09,0.19017,0.04367,-0.0653,-0.11,9,1993
2.99,0.2947,0.01444,-0.1255,-0.25,10,1993
3.02,0.22884,-0.02142,-0.1332,-0.1,11,1993
2.96,0.05135,-0.06092,-0.0743,0.31,12,1993
3.05,-0.03009,-0.09842,0.0298,0.09,1,1994
3.25,0.03577,-0.11351,0.0951,0.06,2,1994
3.34,0.19609,-0.10092,0.1001,-0.05,3,1994
3.56,0.25015,-0.0655,0.0579,0.26,4,1994
4.01,0.15207,-0.02497,0.0195,0.31,5,1994
4.25,-0.04414,0.0169,-0.0024,-0.25,6,1994
4.26,-0.13297,0.05324,-0.0087,-0.08,7,1994
4.47,-0.0653,0.05806,-0.0035,0.01,8,1994
4.73,0.11018,0.02519,0.0122,-0.21,9,1994
4.76,0.19358,-0.03032,0.0334,0.08,10,1994
5.29,0.13521,-0.04867,0.0399,-0.05,11,1994
5.45,-0.02806,-0.01546,0.0267,-0.12,12,1994
5.53,-0.16079,0.05251,0.0011,-0.46,1,1995
5.92,-0.229,0.08812,-0.008,-0.14,2,1995
5.98,-0.23838,0.07501,0.0069,-0.37,3,1995
6.05,-0.20905,0.02463,0.0364,-0.23,4,1995
6.01,-0.14511,-0.01938,0.0438,-0.06,5,1995
6,-0.05879,-0.04614,0.0198,-0.45,6,1995
5.85,0.00579,-0.05606,-0.0283,-0.26,7,1995
5.74,0.03679,-0.05016,-0.0709,0.16,8,1995
5.8,0.03719,-0.02871,-0.1008,0.23,9,1995
5.76,0.0126,0.00171,-0.1177,-0.17,10,1995
5.8,-0.04065,0.01474,-0.1211,-0.16,11,1995
5.6,-0.09485,0.00436,-0.1112,-0.19,12,1995
5.56,-0.06117,-0.02349,-0.089,0,1,1996
5.22,0.0805,-0.04324,-0.0601,0.08,2,1996
5.31,0.28032,-0.04895,-0.0259,0.33,3,1996
5.22,0.34306,-0.04201,0.0108,0.33,4,1996
5.24,0.22283,-0.02795,0.0376,0.25,5,1996
5.27,-0.02088,-0.00842,0.0516,0.16,6,1996
5.4,-0.15294,0.01253,0.0534,0.1,7,1996
5.22,-0.1161,0.0173,0.0449,-0.1,8,1996
5.3,0.04143,0.00146,0.0267,-0.13,9,1996
5.24,0.14689,-0.0271,0.0034,0.15,10,1996
5.31,0.15654,-0.03808,-0.0061,-0.2,11,1996
5.29,0.09573,-0.0236,0.0027,-0.37,12,1996
5.25,0.07314,0.00999,0.0236,0.22,1,1997
5.19,0.10942,0.03923,0.0315,0.16,2,1997
5.39,0.18876,0.05802,0.0199,-0.14,3,1997
5.51,0.23243,0.06391,-0.0062,0.14,4,1997
5.5,0.22013,0.0459,-0.0281,0.18,5,1997
5.56,0.16146,0.00152,-0.0407,-0.07,6,1997
5.52,0.08645,-0.05722,-0.0459,-0.1,7,1997
5.54,-0.00116,-0.08098,-0.0499,-0.39,8,1997
5.54,-0.07838,-0.05768,-0.0542,-0.01,9,1997
5.5,-0.07147,-0.00512,-0.061,0.1,10,1997
5.52,0.04304,0.007,-0.0789,-0.2,11,1997
5.5,0.21666,-0.03851,-0.1101,-0.32,12,1997
5.56,0.28017,-0.1226,-0.1434,-0.09,1,1998
5.51,0.19387,-0.17123,-0.1345,-0.15,2,1998
5.49,0.00426,-0.16589,-0.0721,-0.02,3,1998
5.45,-0.1162,-0.1171,0.0254,0.14,4,1998
5.49,-0.12473,-0.06466,0.0853,0.07,5,1998
5.56,-0.03746,-0.01834,0.0893,-0.04,6,1998
5.54,0.07042,0.01796,0.0482,-0.13,7,1998
5.55,0.18543,0.02824,0.0053,-0.02,8,1998
5.51,0.28724,0.00844,-0.0285,-0.06,9,1998
5.07,0.30738,-0.02995,-0.0523,-0.24,10,1998
4.83,0.23607,-0.04262,-0.063,0.37,11,1998
4.68,0.09226,-0.01862,-0.0597,-0.16,12,1998
4.63,-0.02708,0.03095,-0.0453,-0.15,1,1999
4.76,-0.10206,0.063,-0.032,0.12,2,1999
4.81,-0.13437,0.06652,-0.0227,0.18,3,1999
4.74,-0.13113,0.04702,-0.0155,0.23,4,1999
4.74,-0.09484,0.02633,-0.0026,0.1,5,1999
4.76,-0.0212,0.0096,0.0181,0.15,6,1999
4.99,0.09838,-0.00206,0.0435,0.29,7,1999
5.07,0.26853,-0.00492,0.0618,-0.09,8,1999
5.22,0.4438,0.00221,0.0697,-0.02,9,1999
5.2,0.46325,0.02014,0.0674,0.02,10,1999
5.42,0.29237,0.05351,0.0538,0.01,11,1999
5.3,-0.00016,0.1033,0.0288,-0.29,12,1999
5.46,-0.14278,0.15912,-0.0019,0.12,1,2000
5.73,-0.06932,0.17946,-0.0158,0.26,2,2000
5.85,0.15152,0.15499,-0.0073,-0.37,3,2000
6.02,0.25758,0.09779,0.018,-0.4,4,2000
6.27,0.18336,0.05484,0.0373,-0.24,5,2000
6.53,-0.02273,0.0374,0.0447,0.32,6,2000
6.54,-0.18197,0.04012,0.0419,-0.24,7,2000
6.5,-0.25547,0.04283,0.0344,-0.32,8,2000
6.52,-0.23931,0.04001,0.0237,-0.35,9,2000
6.51,-0.13577,0.02977,0.0098,0.06,10,2000
6.51,0.05446,0.00293,-0.0072,-0.17,11,2000
6.4,0.33053,-0.04309,-0.0276,-0.08,12,2000
