price,assess,bdrms,lotsize,sqrft
300000,349100,4,6126,2438
370000,351500,3,9903,2076
191000,217700,3,5200,1374
195000,231800,3,4600,1448
373000,319100,4,6095,2514
466275,414500,5,8566,2754
332500,367800,3,9000,2067
315000,300200,3,6210,1731
206000,236100,3,6000,1767
240000,256300,3,2892,1890
285000,314000,4,6000,2336
300000,416500,5,7047,2634
405000,434000,3,12237,3375
212000,279300,3,6460,1899
265000,287500,3,6519,2312
227400,232900,4,3597,1760
240000,303800,4,5922,2000
285000,305600,3,7123,1774
268000,266700,3,5642,1376
310000,326000,4,8602,1835
266000,294300,3,5494,2048
270000,318800,3,7800,2124
225000,294200,3,6003,1768
150000,208000,4,5218,1732
247000,239700,3,9425,1440
275000,294100,3,6114,1932
230000,267400,3,6710,1932
343000,359900,3,8577,2106
477500,478100,7,8400,3529
350000,355300,4,9773,2051
230000,217800,4,4806,1573
335000,385000,4,15086,2829
251000,224300,3,5763,1630
235000,251900,4,6383,1840
361000,354900,4,9000,2066
190000,212500,4,3500,1702
360000,452400,4,10892,2750
575000,518100,5,15634,3880
209001,289400,4,6400,1854
225000,268100,2,8880,1421
246000,278500,3,6314,1662
713500,655400,5,28231,3331
248000,273300,4,7050,1656
230000,212100,3,5305,1171
375000,354000,5,6637,2293
265000,252100,3,7834,1764
313000,324000,3,1000,2768
417500,475500,4,8112,3733
253000,256800,3,5850,1536
315000,279200,4,6660,1638
264000,313900,3,6637,1972
255000,279800,2,15267,1478
210000,198700,3,5146,1408
180000,221500,3,6017,1812
250000,268400,3,8410,1722
250000,282300,4,5625,1780
209000,230700,4,5600,1674
258000,287000,4,6525,1850
289000,298700,3,6060,1925
316000,314600,4,5539,2343
225000,291000,3,7566,1567
266000,286400,4,5484,1664
310000,253600,6,5348,1386
471250,482000,5,15834,2617
335000,384300,4,8022,2321
495000,543600,4,11966,2638
279500,336500,4,8460,1915
380000,515100,4,15105,2589
325000,437000,4,10859,2709
220000,263400,3,6300,1587
215000,300400,3,11554,1694
240000,250700,3,6000,1536
725000,708600,5,31000,3662
230000,276300,3,4054,1736
306000,388600,2,20700,2205
425000,252500,3,5525,1502
318000,295200,4,92681,1696
330000,359500,3,8178,2186
246000,276200,4,5944,1928
225000,249800,3,18838,1294
111000,202400,4,4315,1535
268125,254000,3,5167,1980
244000,306800,4,7893,2090
295000,318300,3,6056,1837
236000,259400,3,5828,1715
202500,258100,3,6341,1574
219000,232000,2,6362,1185
242000,252000,4,4950,1774
