DATE,PCECC96
1947-04-01,1.66367
1947-07-01,0.32596
1947-10-01,0.03176
1948-01-01,0.49831
1948-04-01,1.16356
1948-07-01,0.14760
1948-10-01,0.79807
1949-01-01,0.16187
1949-04-01,1.53271
1949-07-01,0.22679
1949-10-01,1.46618
1950-01-01,1.66495
1950-04-01,1.64687
1950-07-01,5.13517
1950-10-01,-3.01458
1951-01-01,2.41804
1951-04-01,-2.82584
1951-07-01,1.16498
1951-10-01,0.58261
1952-01-01,0.23165
1952-04-01,1.95836
1952-07-01,0.47966
1952-10-01,3.52776
1953-01-01,1.17446
1953-04-01,0.60203
1953-07-01,-0.23824
1953-10-01,-0.67053
1954-01-01,0.36886
1954-04-01,1.29860
1954-07-01,1.35330
1954-10-01,2.09874
1955-01-01,2.24380
1955-04-01,1.91568
1955-07-01,1.23518
1955-10-01,1.25570
1956-01-01,0.16245
1956-04-01,0.33264
1956-07-01,0.22611
1956-10-01,1.37859
1957-01-01,0.69550
1957-04-01,0.17432
1957-07-01,0.79023
1957-10-01,0.04162
1958-01-01,-1.38340
1958-04-01,0.82677
1958-07-01,1.65912
1958-10-01,1.35835
1959-01-01,1.83282
1959-04-01,1.54439
1959-07-01,1.04470
1959-10-01,0.11263
1960-01-01,0.95667
1960-04-01,1.26141
1960-07-01,-0.39969
1960-10-01,0.12952
1961-01-01,-0.03718
1961-04-01,1.48818
1961-07-01,0.48629
1961-10-01,2.01142
1962-01-01,1.05929
1962-04-01,1.22936
1962-07-01,0.80595
1962-10-01,1.41490
1963-01-01,0.70050
1963-04-01,0.94362
1963-07-01,1.35661
1963-10-01,0.83325
1964-01-01,1.96266
1964-04-01,1.76892
1964-07-01,1.84718
1964-10-01,0.28545
1965-01-01,2.23006
1965-04-01,1.10291
1965-07-01,1.71825
1965-10-01,2.81127
1966-01-01,1.47626
1966-04-01,0.25625
1966-07-01,1.14191
1966-10-01,0.41661
1967-01-01,0.57621
1967-04-01,1.36715
1967-07-01,0.51200
1967-10-01,0.61196
1968-01-01,2.39649
1968-04-01,1.52274
1968-07-01,1.87419
1968-10-01,0.45108
1969-01-01,1.10882
1969-04-01,0.64510
1969-07-01,0.48754
1969-10-01,0.79923
1970-01-01,0.62048
1970-04-01,0.45301
1970-07-01,0.87669
1970-10-01,-0.27148
1971-01-01,1.91954
1971-04-01,0.91908
1971-07-01,0.79727
1971-10-01,1.65925
1972-01-01,1.31982
1972-04-01,1.90367
1972-07-01,1.54109
1972-10-01,2.34667
1973-01-01,1.82575
1973-04-01,-0.04508
1973-07-01,0.35197
1973-10-01,-0.29825
1974-01-01,-0.89467
1974-04-01,0.36005
1974-07-01,0.42956
1974-10-01,-1.46171
1975-01-01,0.83875
1975-04-01,1.64487
1975-07-01,1.42125
1975-10-01,1.07533
1976-01-01,1.99938
1976-04-01,0.92005
1976-07-01,1.05286
1976-10-01,1.29749
1977-01-01,1.17869
1977-04-01,0.54225
1977-07-01,0.94556
1977-10-01,1.50354
1978-01-01,0.56180
1978-04-01,2.13786
1978-07-01,0.41991
1978-10-01,0.80694
1979-01-01,0.51793
1979-04-01,-0.06494
1979-07-01,0.97310
1979-10-01,0.24882
1980-01-01,-0.14295
1980-04-01,-2.25209
1980-07-01,1.09695
1980-10-01,1.35107
1981-01-01,0.33500
1981-04-01,0.00728
1981-07-01,0.46258
1981-10-01,-0.68402
1982-01-01,0.73659
1982-04-01,0.30460
1982-07-01,0.67038
1982-10-01,1.75167
1983-01-01,0.98870
1983-04-01,2.03627
1983-07-01,1.79320
1983-10-01,1.59356
1984-01-01,0.82988
1984-04-01,1.40098
1984-07-01,0.74163
1984-10-01,1.29542
1985-01-01,1.69905
1985-04-01,0.91804
1985-07-01,1.89933
1985-10-01,0.21633
1986-01-01,0.87381
1986-04-01,1.08968
1986-07-01,1.76903
1986-10-01,0.61335
1987-01-01,0.09982
1987-04-01,1.36469
1987-07-01,1.14131
1987-10-01,0.21155
1988-01-01,1.76650
1988-04-01,0.73826
1988-07-01,0.88857
1988-10-01,1.13700
1989-01-01,0.46394
1989-04-01,0.46679
1989-07-01,0.96811
1989-10-01,0.43461
1990-01-01,0.84159
1990-04-01,0.30462
1990-07-01,0.39616
1990-10-01,-0.76076
1991-01-01,-0.37603
1991-04-01,0.82876
1991-07-01,0.49859
1991-10-01,-0.05004
1992-01-01,1.87234
1992-04-01,0.67884
1992-07-01,1.07193
1992-10-01,1.19189
1993-01-01,0.38342
1993-04-01,0.90961
1993-07-01,1.11295
1993-10-01,0.87785
1994-01-01,1.14380
1994-04-01,0.77807
1994-07-01,0.76251
1994-10-01,1.08113
1995-01-01,0.24888
1995-04-01,0.87667
1995-07-01,0.90623
1995-10-01,0.69757
1996-01-01,0.92229
1996-04-01,1.07578
1996-07-01,0.60542
1996-10-01,0.79652
1997-01-01,1.05409
1997-04-01,0.45019
1997-07-01,1.70375
1997-10-01,1.19522
1998-01-01,1.01153
1998-04-01,1.76094
1998-07-01,1.30403
1998-10-01,1.44469
1999-01-01,0.97027
1999-04-01,1.45800
1999-07-01,1.12868
1999-10-01,1.46521
2000-01-01,1.53625
2000-04-01,0.96585
2000-07-01,0.98196
2000-10-01,0.86009
2001-01-01,0.40030
2001-04-01,0.23643
2001-07-01,0.34272
2001-10-01,1.49532
2002-01-01,0.30606
2002-04-01,0.51345
2002-07-01,0.72452
2002-10-01,0.57470
2003-01-01,0.47033
2003-04-01,1.12303
2003-07-01,1.46682
2003-10-01,0.67806
2004-01-01,0.88978
2004-04-01,0.62218
2004-07-01,1.10585
2004-10-01,1.08769
2005-01-01,0.58347
2005-04-01,1.13455
2005-07-01,0.97067
2005-10-01,0.29696
2006-01-01,1.11512
2006-04-01,0.50660
2006-07-01,0.60712
2006-10-01,0.96775
2007-01-01,0.55957
2007-04-01,0.18534
2007-07-01,0.56359
2007-10-01,0.28481
2008-01-01,-0.26577
