DATE,PCECC96
1994-10-01,6805.581
1995-01-01,6822.519
1995-04-01,6882.33
1995-07-01,6944.7
1995-10-01,6993.144
1996-01-01,7057.641
1996-04-01,7133.566
1996-07-01,7176.754
1996-10-01,7233.918
1997-01-01,7310.17
1997-04-01,7343.08
1997-07-01,7468.188
1997-10-01,7557.449
1998-01-01,7633.895
1998-04-01,7768.323
1998-07-01,7869.624
1998-10-01,7983.316
1999-01-01,8060.776
1999-04-01,8178.302
1999-07-01,8270.609
1999-10-01,8391.791
2000-01-01,8520.71
2000-04-01,8603.007
2000-07-01,8687.485
2000-10-01,8762.205
2001-01-01,8797.28
2001-04-01,8818.079
2001-07-01,8848.3
2001-10-01,8980.61
2002-01-01,9008.096
2002-04-01,9054.348
2002-07-01,9119.949
2002-10-01,9172.361
2003-01-01,9215.501
2003-04-01,9318.994
2003-07-01,9455.687
2003-10-01,9519.802
2004-01-01,9604.507
2004-04-01,9664.264
2004-07-01,9771.136
2004-10-01,9877.416
2005-01-01,9935.048
2005-04-01,10047.766
2005-07-01,10145.297
2005-10-01,10175.424
2006-01-01,10288.892
2006-04-01,10341.016
2006-07-01,10403.798
2006-10-01,10504.481
2007-01-01,10563.261
2007-04-01,10582.839
2007-07-01,10642.483
2007-10-01,10672.794
2008-01-01,10644.429
2008-04-01,10661.689
2008-07-01,10581.856
2008-10-01,10483.376
2009-01-01,10459.698
2009-04-01,10417.334
2009-07-01,10489.202
2009-10-01,10473.645
2010-01-01,10525.432
2010-04-01,10609.148
2010-07-01,10683.342
2010-10-01,10753.999
2011-01-01,10799.741
2011-04-01,10823.654
2011-07-01,10866.036
2011-10-01,10885.893
2012-01-01,10973.303
2012-04-01,10989.585
2012-07-01,11007.517
2012-10-01,11056.852
2013-01-01,11114.186
2013-04-01,11122.185
2013-07-01,11167.422
2013-10-01,11263.648
2014-01-01,11307.262
2014-04-01,11428.703
2014-07-01,11554.226
2014-10-01,11687.133
2015-01-01,11788.364
2015-04-01,11887.537
2015-07-01,11971.952
2015-10-01,12039.65
2016-01-01,12111.776
2016-04-01,12214.098
2016-07-01,12294.303
2016-10-01,12372.73
2017-01-01,12427.647
2017-04-01,12515.86
2017-07-01,12584.906
2017-10-01,12706.369
2018-01-01,12722.839
2018-04-01,12842.022
2018-07-01,12968.538
